delta_c1,delta_c2,delta_c3,delta_c4,delta_c5,delta_c6,delta_c7,delta_c8,theta_c1,theta_c2,theta_c3,theta_c4,theta_c5,theta_c6,theta_c7,theta_c8,lowalpha_c1,lowalpha_c2,lowalpha_c3,lowalpha_c4,lowalpha_c5,lowalpha_c6,lowalpha_c7,lowalpha_c8,highalpha_c1,highalpha_c2,highalpha_c3,highalpha_c4,highalpha_c5,highalpha_c6,highalpha_c7,highalpha_c8,lowbeta_c1,lowbeta_c2,lowbeta_c3,lowbeta_c4,lowbeta_c5,lowbeta_c6,lowbeta_c7,lowbeta_c8,highbeta_c1,highbeta_c2,highbeta_c3,highbeta_c4,highbeta_c5,highbeta_c6,highbeta_c7,highbeta_c8,lowgamma_c1,lowgamma_c2,lowgamma_c3,lowgamma_c4,lowgamma_c5,lowgamma_c6,lowgamma_c7,lowgamma_c8,midgamma_c1,midgamma_c2,midgamma_c3,midgamma_c4,midgamma_c5,midgamma_c6,midgamma_c7,midgamma_c8,state,answer
-382029.4418,1274818.558,548007.5582,-349019.4418,-480359.4418,-477483.4418,-359258.4418,463871.5582,-88753.088,39800.912,14623.912,-85407.088,-50854.088,-94262.088,-74013.088,49040.912,-22745.15777,-13758.15777,20040.84223,-20140.15777,-15211.15777,-9851.15777,-19219.15777,4578.84223,-18674.03201,31676.96799,-11636.03201,-16765.03201,5268.96799,-11300.03201,-6578.03201,76859.96799,-11956.60134,36083.39866,-6828.60134,-13235.60134,-1401.60134,-10699.60134,-7421.60134,1721.39866,-12749.72334,6213.27666,-9422.72334,-16348.72334,-8047.72334,-5875.72334,-12392.72334,37187.27666,-11884.10835,8294.89165,-8806.10835,-12322.10835,-8358.10835,-8769.10835,-4259.10835,17174.89165,-7409.126424,3292.873576,-4356.126424,-7096.126424,-5406.126424,-5589.126424,-4131.126424,3060.873576,easy,yes
-400843.4418,1430982.558,551744.5582,-329080.4418,-123482.4418,1172057.558,-382842.4418,-314216.4418,-103878.088,14809.912,32067.912,-100624.088,-27100.088,-90720.088,-67601.088,-106280.088,-21336.15777,63332.84223,-7387.15777,-22231.15777,28492.84223,-13984.15777,-8541.15777,-24871.15777,-17712.03201,8326.96799,29542.96799,-17339.03201,-12932.03201,-19280.03201,-17282.03201,-20225.03201,-8064.60134,71952.39866,-8085.60134,-13843.60134,9039.39866,-8028.60134,-10964.60134,-14664.60134,-11685.72334,9658.27666,13314.27666,-15663.72334,16633.27666,-15442.72334,-15910.72334,-16564.72334,-6634.10835,14770.89165,8934.89165,-9911.10835,-4065.10835,-8224.10835,-11885.10835,-11509.10835,-4940.126424,9226.873576,3906.873576,-3096.126424,-3223.126424,-6761.126424,-6085.126424,-7537.126424,easy,yes
728424.5582,2280956.558,368706.5582,-468680.4418,-359052.4418,47240.5582,-408582.4418,480324.5582,173209.912,107818.912,20275.912,-109442.088,-100233.088,-82506.088,-76304.088,-52490.088,-3027.15777,285011.8422,77166.84223,-25433.15777,-25909.15777,-24156.15777,-23121.15777,-17738.15777,1460.96799,56177.96799,7953.96799,-19964.03201,-19426.03201,-9233.03201,-20313.03201,-7262.03201,5304.39866,47479.39866,5058.39866,-14750.60134,-13104.60134,-7240.60134,-13516.60134,-6031.60134,1805.27666,23629.27666,178.27666,-16337.72334,-15631.72334,-11611.72334,-15076.72334,-8380.72334,-2262.10835,33876.89165,11112.89165,-12245.10835,-11822.10835,-10358.10835,-12265.10835,-10892.10835,1964.873576,9109.873576,12694.87358,-7341.126424,-7661.126424,-6790.126424,-7745.126424,-6152.126424,easy,yes
83194.5582,-290746.4418,700176.5582,1028759.558,-239605.4418,-420122.4418,-450147.4418,-228563.4418,-87162.088,-96124.088,63589.912,510286.912,38040.912,-98740.088,-88167.088,-51780.088,-22926.15777,-13633.15777,33715.84223,171756.8422,-12103.15777,-25007.15777,-16736.15777,-15527.15777,-13509.03201,5711.96799,-6980.03201,74767.96799,-4074.03201,-19273.03201,-16904.03201,-15688.03201,-2181.60134,-6522.60134,11206.39866,56510.39866,-9935.60134,-14435.60134,-5088.60134,-10328.60134,-14105.72334,-13116.72334,-7384.72334,39487.27666,-13881.72334,-14950.72334,-9683.72334,-15221.72334,-9574.10835,-5988.10835,1700.89165,16217.89165,-8912.10835,-10976.10835,-10807.10835,-11670.10835,-6948.126424,-1487.126424,2538.873576,7821.873576,-2242.126424,-5842.126424,-6701.126424,-6852.126424,difficult,yes
-319601.4418,-448438.4418,-438028.4418,1430134.558,2197620.558,-365882.4418,57303.5582,87718.5582,-67257.088,-86566.088,38434.912,672569.912,59753.912,-100646.088,262646.912,-10637.088,-9626.15777,-19432.15777,-18009.15777,518154.8422,-11626.15777,-26349.15777,3657.84223,-722.15777,-7252.03201,-14031.03201,-15765.03201,256945.968,-1515.03201,-19499.03201,22383.96799,-10360.03201,7384.39866,-3175.60134,-10318.60134,31761.39866,14968.39866,-13148.60134,-1060.60134,-1417.60134,-7502.72334,-5237.72334,-12129.72334,24057.27666,-7203.72334,-11451.72334,10084.27666,-9338.72334,-7730.10835,6476.89165,-8518.10835,75838.89165,-5712.10835,-9395.10835,218.89165,-3968.10835,7502.873576,7224.873576,-2884.126424,17997.87358,739.873576,-6192.126424,918.873576,-3757.126424,difficult,yes
374431.5582,-434760.4418,924037.5582,-279878.4418,1934127.558,-325773.4418,-346914.4418,1763443.558,213973.912,-93864.088,51679.912,27618.912,646193.912,-96429.088,-71311.088,93605.912,-14303.15777,-18216.15777,218381.8422,-7800.15777,-15112.15777,-18937.15777,-17741.15777,26124.84223,12123.96799,-5451.03201,86750.96799,-7451.03201,-7421.03201,-18162.03201,-10864.03201,-16718.03201,2902.39866,-5325.60134,45481.39866,-6360.60134,11460.39866,-11067.60134,-12813.60134,9881.39866,-7829.72334,-11751.72334,14277.27666,-12516.72334,524.27666,-15887.72334,-13825.72334,15726.27666,-5783.10835,-6164.10835,-1470.10835,-11126.10835,-4338.10835,-11589.10835,-11870.10835,4513.89165,-4234.126424,-3086.126424,-1298.126424,-6794.126424,-3714.126424,-7752.126424,-7350.126424,-1020.126424,easy,yes
-233764.4418,-420114.4418,-314582.4418,-155091.4418,-480047.4418,-227736.4418,-292381.4418,-344781.4418,81387.912,-89074.088,-60071.088,-68177.088,-95319.088,-74093.088,-69599.088,-8442.088,-7482.15777,-24935.15777,-9151.15777,-23745.15777,-23568.15777,-22285.15777,-7454.15777,-22933.15777,-6038.03201,-18378.03201,-12108.03201,-16940.03201,-19070.03201,-5755.03201,-8558.03201,337.96799,2480.39866,-14368.60134,-12906.60134,-7660.60134,-4581.60134,-9728.60134,-11491.60134,27397.39866,-9927.72334,-17016.72334,-13276.72334,-15148.72334,-13666.72334,-4921.72334,-16102.72334,-7489.72334,-9244.10835,-12050.10835,-10303.10835,-10412.10835,-9971.10835,-10274.10835,-11229.10835,-6981.10835,-2942.126424,-7358.126424,-6754.126424,-6776.126424,-5530.126424,-6769.126424,-6848.126424,-3369.126424,difficult,no
-158783.4418,-228065.4418,486893.5582,921480.5582,2031304.558,-281439.4418,1074580.558,259593.5582,31334.912,114189.912,298287.912,501302.912,581381.912,286772.912,453884.912,50098.912,-20786.15777,-6521.15777,68.84223,188959.8422,228333.8422,-9040.15777,-15366.15777,-1293.15777,2887.96799,-15412.03201,18764.96799,136162.968,140051.968,-9242.03201,-2766.03201,-5574.03201,-7465.60134,-11950.60134,7631.39866,43830.39866,2582.39866,7338.39866,28144.39866,-10279.60134,-9888.72334,-10647.72334,-1592.72334,25139.27666,25821.27666,-11228.72334,3044.27666,-8735.72334,-1768.10835,-5434.10835,-7731.10835,38228.89165,219.89165,-5489.10835,-3399.10835,-7010.10835,-1758.126424,-5920.126424,4241.873576,22954.87358,5461.873576,-4436.126424,-4578.126424,-4496.126424,easy,yes
-347046.4418,-22370.4418,-198182.4418,-363131.4418,1531523.558,-203832.4418,150480.5582,-160370.4418,-82410.088,-4455.088,25401.912,-38097.088,125641.912,-55319.088,89564.912,184341.912,-22607.15777,41317.84223,-21671.15777,-19281.15777,-10252.15777,19308.84223,-13263.15777,-14789.15777,-19499.03201,-3899.03201,2659.96799,-15415.03201,-9758.03201,7826.96799,-7332.03201,2328.96799,-8686.60134,12316.39866,-2775.60134,-12206.60134,6657.39866,4616.39866,-8650.60134,16734.39866,-14386.72334,3451.27666,-13432.72334,-11366.72334,-8995.72334,-13652.72334,-9819.72334,-9642.72334,-7051.10835,7820.89165,-8893.10835,-9243.10835,-1476.10835,2290.89165,-11343.10835,-4822.10835,-7216.126424,1149.873576,-4150.126424,-6273.126424,-2182.126424,2626.873576,-5748.126424,-1052.126424,easy,no
-405157.4418,793033.5582,-31857.4418,-481443.4418,334530.5582,-433281.4418,-254354.4418,-174183.4418,-102096.088,-18478.088,-90187.088,-83995.088,146881.912,-94380.088,-100285.088,-93221.088,-16025.15777,21630.84223,-12607.15777,-24017.15777,40574.84223,-24987.15777,-19960.15777,-17834.15777,-18413.03201,-2618.03201,-18896.03201,-20389.03201,-1117.03201,-19981.03201,-15601.03201,-18489.03201,-12287.60134,10737.39866,-9185.60134,-14443.60134,1547.39866,-14324.60134,-10168.60134,-12621.60134,-13629.72334,-10676.72334,-11504.72334,-15733.72334,11964.27666,-16922.72334,-12922.72334,-14853.72334,-11965.10835,-9818.10835,-12182.10835,-12074.10835,-3785.10835,-12466.10835,-11364.10835,-12079.10835,-7333.126424,-5482.126424,-6836.126424,-7708.126424,1264.873576,-7745.126424,-7094.126424,-7327.126424,difficult,no
-357993.4418,715844.5582,-197369.4418,-351444.4418,1078314.558,-185246.4418,266353.5582,1555936.558,-67253.088,103552.912,-12591.088,-99489.088,2812.912,-7168.088,-62616.088,-26424.088,-25519.15777,-10785.15777,-21483.15777,-22057.15777,-12609.15777,38397.84223,10322.84223,10173.84223,-13911.03201,-5778.03201,-14408.03201,-19419.03201,-5149.03201,3097.96799,-14051.03201,-8810.03201,-12207.60134,28600.39866,-14036.60134,-10315.60134,-8830.60134,-11238.60134,-4900.60134,3135.39866,-13664.72334,-9063.72334,-11461.72334,-14883.72334,3675.27666,-13539.72334,4126.27666,-5682.72334,-8430.10835,-9615.10835,-9903.10835,-11749.10835,-454.10835,-10995.10835,-3637.10835,14302.89165,-6321.126424,350.873576,-7279.126424,-7400.126424,407.873576,-6386.126424,5852.873576,8301.873576,easy,yes
533758.5582,-374622.4418,-336764.4418,-230526.4418,-451237.4418,-360126.4418,-403324.4418,-262342.4418,-73133.088,-74141.088,-105346.088,86062.912,-108503.088,-69415.088,-79895.088,-94620.088,1908.84223,-22953.15777,-26094.15777,14912.84223,-25210.15777,-22395.15777,-20477.15777,-21995.15777,14845.96799,-14652.03201,-18378.03201,-567.03201,-19219.03201,-7511.03201,-18313.03201,-18052.03201,1743.39866,-10714.60134,-13244.60134,-6784.60134,-14544.60134,-12809.60134,-10021.60134,-13953.60134,904.27666,-14812.72334,-15721.72334,25.27666,-12897.72334,-14730.72334,-14703.72334,-16015.72334,25352.89165,-12039.10835,-12370.10835,-7237.10835,-10606.10835,-11147.10835,-11145.10835,-11911.10835,4032.873576,-6891.126424,-7609.126424,-6214.126424,-7268.126424,-7295.126424,-6750.126424,-7577.126424,difficult,yes
116134.5582,-255049.4418,444111.5582,823200.5582,-405378.4418,-472692.4418,-437222.4418,-368518.4418,341405.912,54940.912,43518.912,134065.912,-82838.088,-103075.088,-21498.088,-79276.088,161618.8422,3917.84223,-12651.15777,-15068.15777,-20948.15777,-24114.15777,-4640.15777,-11202.15777,-7376.03201,-8770.03201,-11013.03201,59853.96799,-16407.03201,-13449.03201,18624.96799,-12986.03201,2907.39866,-6067.60134,-7833.60134,175.39866,-13340.60134,-3135.60134,21602.39866,-9848.60134,5332.27666,-11573.72334,-7994.72334,-3406.72334,-16587.72334,-7866.72334,-4882.72334,-14656.72334,20142.89165,-10376.10835,-8362.10835,-8912.10835,-12111.10835,-8109.10835,-10595.10835,-9117.10835,-601.126424,-6969.126424,2545.873576,13.873576,-7665.126424,-5487.126424,-3780.126424,-4940.126424,difficult,yes
1362610.558,1375518.558,492069.5582,1624331.558,-469289.4418,-391584.4418,121971.5582,497834.5582,-18353.088,1012066.912,545019.912,197566.912,-100874.088,-2499.088,181866.912,-88248.088,38272.84223,262461.8422,30920.84223,59546.84223,-19795.15777,-10109.15777,-22339.15777,-14717.15777,15281.96799,78291.96799,116842.968,258495.968,-19962.03201,-8726.03201,-16618.03201,-16350.03201,3424.39866,44896.39866,19299.39866,58368.39866,-12754.60134,-9445.60134,-7189.60134,-5509.60134,2324.27666,33656.27666,15704.27666,20667.27666,-14683.72334,-14753.72334,2489.27666,-11536.72334,736.89165,58381.89165,28325.89165,11405.89165,-11488.10835,-10941.10835,-8827.10835,-8513.10835,-2756.126424,17968.87358,19322.87358,9227.873576,-7154.126424,-7604.126424,3928.873576,-3525.126424,difficult,yes
1296619.558,-91404.4418,183106.5582,-200069.4418,279718.5582,-401853.4418,-460534.4418,-29646.4418,125082.912,63069.912,12541.912,-51705.088,99557.912,-93531.088,-97774.088,-52864.088,-1014.15777,38620.84223,-12059.15777,22230.84223,-21522.15777,-15078.15777,-18442.15777,4371.84223,-520.03201,-462.03201,-16715.03201,-4669.03201,2180.96799,2006.96799,-19177.03201,-9584.03201,33048.39866,1762.39866,-9455.60134,-7523.60134,-5059.60134,-2544.60134,-11284.60134,-12736.60134,-2783.72334,2781.27666,-5926.72334,-8135.72334,-10156.72334,180.27666,-14694.72334,-13347.72334,23751.89165,-5614.10835,-11716.10835,-10075.10835,-8795.10835,-2293.10835,-9522.10835,-10060.10835,3238.873576,1122.873576,-7230.126424,-7305.126424,-2996.126424,-4637.126424,-7112.126424,-5910.126424,easy,yes
807976.5582,278055.5582,1525395.558,61920.5582,-145865.4418,-466784.4418,684965.5582,684965.5582,65770.912,418847.912,-26424.088,-35446.088,-3931.088,-103800.088,395592.912,395592.912,3999.84223,2501.84223,-12080.15777,16276.84223,71070.84223,-20941.15777,67648.84223,67648.84223,-15405.03201,63114.96799,30937.96799,16816.96799,-3634.03201,-18015.03201,211806.968,211806.968,-9825.60134,25847.39866,1185.39866,-11790.60134,50502.39866,-12427.60134,74588.39866,74588.39866,-9600.72334,-152.72334,1491.27666,-12926.72334,-3661.72334,-15293.72334,2187.27666,2187.27666,1736.89165,22213.89165,-4659.10835,-5734.10835,-8481.10835,-12049.10835,41974.89165,41974.89165,-1359.126424,14275.87358,2500.873576,-1313.126424,-2952.126424,-7747.126424,38971.87358,38971.87358,easy,yes
129138.5582,96081.5582,-392452.4418,1964159.558,-446700.4418,-186880.4418,-229673.4418,1712402.558,68377.912,78151.912,-60027.088,-28433.088,-107310.088,-55691.088,109116.912,76678.912,3502.84223,21401.84223,-14620.15777,7444.84223,-20845.15777,-20444.15777,-12574.15777,37249.84223,-9196.03201,3113.96799,6455.96799,-902.03201,-8907.03201,-16985.03201,-7364.03201,4181.96799,-1157.60134,-8911.60134,-1649.60134,19048.39866,692.39866,-9771.60134,2244.39866,-3780.60134,4175.27666,-7463.72334,-13952.72334,9319.27666,-9477.72334,-14181.72334,-157.72334,-5131.72334,-535.10835,-8025.10835,-10222.10835,-6073.10835,-6936.10835,-11539.10835,-1690.10835,1249.89165,-4201.126424,-4745.126424,-7031.126424,-2432.126424,-1437.126424,-7461.126424,-5641.126424,-4184.126424,easy,yes
681341.5582,-392901.4418,-440333.4418,216134.5582,198723.5582,1209984.558,-394674.4418,-253850.4418,-2176.088,-71454.088,-97166.088,-60835.088,214701.912,434254.912,-65513.088,-68317.088,-19953.15777,-22607.15777,-23073.15777,-6897.15777,14059.84223,36970.84223,-20153.15777,-22588.15777,-2401.03201,-16439.03201,-19515.03201,-3797.03201,18594.96799,-7422.03201,-16167.03201,-8545.03201,-4641.60134,-13255.60134,-13781.60134,-5745.60134,5031.39866,15914.39866,-10031.60134,-2813.60134,-10765.72334,-13256.72334,-6960.72334,-14252.72334,-81.72334,1527.27666,-14426.72334,-8813.72334,-10127.10835,-8807.10835,-8916.10835,-10746.10835,-5077.10835,-6853.10835,-11968.10835,-4124.10835,-5407.126424,-6025.126424,-6602.126424,-3769.126424,627.873576,-3291.126424,-7456.126424,-3461.126424,easy,no
-454320.4418,762883.5582,318418.5582,-376348.4418,-355441.4418,-126804.4418,-303939.4418,142346.5582,-96289.088,-48715.088,27707.912,140279.912,425674.912,30366.912,25327.912,-32048.088,-21809.15777,-17876.15777,20539.84223,-581.15777,5945.84223,14514.84223,-23096.15777,-11992.15777,-13525.03201,9470.96799,-10382.03201,38143.96799,-8917.03201,29161.96799,-15842.03201,911.96799,-13195.60134,-8314.60134,-12797.60134,74949.39866,-7682.60134,8480.39866,-1971.60134,322.39866,-10714.72334,-4768.72334,-12581.72334,-1104.72334,-7902.72334,-121.72334,-13869.72334,-2186.72334,-7845.10835,-2779.10835,-10524.10835,-3926.10835,-2935.10835,-6082.10835,-10505.10835,-5316.10835,-4857.126424,73.873576,-6780.126424,17108.87358,-2053.126424,-4552.126424,-5124.126424,-2224.126424,difficult,yes
-172089.4418,822739.5582,-468438.4418,-85054.4418,-366666.4418,-144302.4418,-24482.4418,-296814.4418,143981.912,-42832.088,-87121.088,-63478.088,-103760.088,-5615.088,-29323.088,-53645.088,-11958.15777,33248.84223,-22243.15777,-21060.15777,-17541.15777,7876.84223,19986.84223,-7710.15777,17710.96799,59199.96799,-19320.03201,-736.03201,-19396.03201,-11570.03201,-6601.03201,-1686.03201,9653.39866,21389.39866,-13141.60134,-735.60134,-9447.60134,-3095.60134,32852.39866,14512.39866,-10946.72334,18172.27666,-15932.72334,-11456.72334,-15205.72334,-12986.72334,10275.27666,-4859.72334,7424.89165,-6073.10835,-12123.10835,-10300.10835,-11485.10835,-10706.10835,-3505.10835,-9945.10835,-2526.126424,3665.873576,-7639.126424,-7072.126424,-7310.126424,-6423.126424,-1177.126424,-5320.126424,difficult,yes
-426062.4418,83219.5582,-200402.4418,-51439.4418,-110402.4418,-381526.4418,784997.5582,-199461.4418,-81279.088,-13781.088,-99925.088,-61242.088,-39692.088,-20992.088,172151.912,-45170.088,-24717.15777,9610.84223,-13729.15777,-1671.15777,-19726.15777,-21621.15777,6746.84223,-16791.15777,-15790.03201,7367.96799,-19690.03201,-14216.03201,-11537.03201,-10614.03201,-7899.03201,-10583.03201,-13112.60134,-6501.60134,-13271.60134,-7282.60134,-10801.60134,4088.39866,12249.39866,-9881.60134,-14635.72334,-7091.72334,-15225.72334,-12269.72334,-1264.72334,-11114.72334,25311.27666,-8435.72334,-11206.10835,-4768.10835,-10357.10835,-10900.10835,-8434.10835,-11419.10835,8893.89165,-7840.10835,-6899.126424,-5907.126424,-7178.126424,-7388.126424,-3913.126424,-7147.126424,-990.126424,-5436.126424,difficult,yes
539025.5582,107234.5582,-387421.4418,-429393.4418,-89289.4418,-367580.4418,-262787.4418,-25689.4418,4839.912,-84007.088,-100823.088,-86862.088,-89703.088,-93321.088,-70648.088,-94787.088,-20209.15777,-17646.15777,-20185.15777,-22405.15777,-6750.15777,3805.84223,-21793.15777,-21787.15777,-18035.03201,-14771.03201,-18799.03201,-20227.03201,-6984.03201,-8785.03201,-18039.03201,-16191.03201,-11020.60134,-3085.60134,-11197.60134,-13907.60134,-8775.60134,3505.39866,-12905.60134,-11731.60134,-11085.72334,-14149.72334,-14664.72334,-15895.72334,-121.72334,-4102.72334,-14324.72334,-16080.72334,-7909.10835,-10277.10835,-10591.10835,-11963.10835,-10019.10835,-9694.10835,-11971.10835,-11795.10835,-6345.126424,-6749.126424,-6713.126424,-7730.126424,-3691.126424,-4409.126424,-7209.126424,-7618.126424,difficult,yes
583707.5582,-251752.4418,298578.5582,-372594.4418,-13467.4418,-442696.4418,-209280.4418,-408370.4418,-87269.088,-42987.088,11713.912,-50724.088,-9254.088,-85362.088,-85182.088,-62900.088,-8935.15777,8505.84223,-5148.15777,31747.84223,-24502.15777,-22040.15777,-12363.15777,-22224.15777,-856.03201,77168.96799,9290.96799,-1823.03201,-3063.03201,-6381.03201,-16577.03201,-17819.03201,-10508.60134,22646.39866,-3950.60134,-1665.60134,-9075.60134,-6641.60134,2972.39866,-12011.60134,4271.27666,1872.27666,-4573.72334,-8872.72334,-9323.72334,-8563.72334,-12151.72334,-14528.72334,3979.89165,8338.89165,-7658.10835,7673.89165,-6039.10835,-6823.10835,-9595.10835,-11427.10835,-2928.126424,7393.873576,4062.873576,-1274.126424,-2657.126424,-3017.126424,-6855.126424,-6965.126424,easy,no
857427.5582,98313.5582,-296431.4418,-22672.4418,533770.5582,828601.5582,1843530.558,-306549.4418,-53328.088,405954.912,105151.912,-70515.088,-88489.088,201290.912,717620.912,-85255.088,14072.84223,214335.8422,13942.84223,-6227.15777,14446.84223,77014.84223,44190.84223,-18563.15777,28823.96799,104564.968,2986.96799,-15381.03201,8624.96799,71775.96799,132196.968,-16256.03201,-1055.60134,40584.39866,-8961.60134,-10381.60134,10458.39866,33327.39866,63484.39866,-12347.60134,23582.27666,41523.27666,-2056.72334,-11388.72334,-1890.72334,5209.27666,62403.27666,-13290.72334,6790.89165,49107.89165,-7457.10835,-8088.10835,-2298.10835,56895.89165,125902.8917,-10563.10835,4771.873576,14868.87358,2022.873576,-5658.126424,4051.873576,12376.87358,59782.87358,-5317.126424,easy,yes
1088202.558,-353210.4418,-282316.4418,672004.5582,-393288.4418,-76785.4418,-389985.4418,532512.5582,146536.912,-93066.088,-8912.088,-68886.088,-76507.088,55482.912,-86131.088,83117.912,2513.84223,-16949.15777,20054.84223,-20904.15777,-17301.15777,14370.84223,-22120.15777,-6963.15777,19725.96799,15775.96799,-10832.03201,-8624.03201,-18627.03201,-4891.03201,-19758.03201,14578.96799,17224.39866,-8142.60134,-4995.60134,5174.39866,-10689.60134,6454.39866,-13195.60134,8599.39866,7820.27666,-13825.72334,-12655.72334,-8203.72334,-12189.72334,1229.27666,-16511.72334,20703.27666,-2280.10835,-9465.10835,-9940.10835,-843.10835,-10417.10835,-1735.10835,-12198.10835,-3677.10835,13918.87358,-6797.126424,-6877.126424,-3287.126424,-7131.126424,-1119.126424,-7556.126424,4301.873576,easy,yes
-293450.4418,-439719.4418,-198880.4418,254255.5582,93904.5582,-337289.4418,-173529.4418,-344117.4418,-83097.088,-102437.088,-28045.088,-96070.088,-92657.088,-71703.088,-32244.088,-85870.088,10228.84223,-23728.15777,-18624.15777,-18315.15777,-23967.15777,-14772.15777,-15994.15777,-13749.15777,-19771.03201,-10287.03201,-12765.03201,349.96799,-18141.03201,-11181.03201,2451.96799,-10897.03201,-10974.60134,-9094.60134,-10180.60134,-12638.60134,-13350.60134,-9481.60134,-11248.60134,-5689.60134,-12520.72334,-12505.72334,-9855.72334,-15084.72334,-14966.72334,-12636.72334,-12454.72334,-11926.72334,-5596.10835,-6952.10835,-9608.10835,-11635.10835,-10935.10835,-10786.10835,-8192.10835,-5617.10835,-3789.126424,-5962.126424,-6744.126424,-6900.126424,-7073.126424,-7011.126424,-4993.126424,189.873576,easy,yes
48716.5582,994546.5582,762175.5582,-411918.4418,-307653.4418,-386859.4418,-192332.4418,182340.5582,-52470.088,-34184.088,176470.912,-103895.088,-92986.088,-70570.088,924496.912,-11896.088,-15239.15777,-8365.15777,26292.84223,-26009.15777,-22999.15777,-21621.15777,30213.84223,8872.84223,-9137.03201,-2097.03201,72773.96799,-18915.03201,-18308.03201,-16306.03201,-11862.03201,433.96799,-6472.60134,45666.39866,-5316.60134,-12880.60134,-13038.60134,-8587.60134,13170.39866,30761.39866,-11117.72334,235.27666,6014.27666,-15758.72334,-13012.72334,-11779.72334,27482.27666,22149.27666,-5030.10835,1294.89165,-2199.10835,-11760.10835,-10272.10835,-10733.10835,-5158.10835,-6409.10835,-4349.126424,1129.873576,3149.873576,-7207.126424,-6172.126424,-4263.126424,-3027.126424,-2440.126424,difficult,yes
1026459.558,423788.5582,123507.5582,-206871.4418,-371921.4418,-255971.4418,334877.5582,106914.5582,-19730.088,-31076.088,-34644.088,-80022.088,-66635.088,-62096.088,-41691.088,-78451.088,10602.84223,-21340.15777,-14418.15777,-10887.15777,-16400.15777,-6420.15777,-10712.15777,-17806.15777,-14848.03201,-10868.03201,-17476.03201,-16817.03201,8100.96799,-10226.03201,-12330.03201,-16021.03201,5872.39866,-10464.60134,-8891.60134,-11680.60134,154.39866,10844.39866,-451.60134,-9313.60134,2877.27666,-14912.72334,-14422.72334,-14313.72334,-10810.72334,-11061.72334,-11154.72334,-13775.72334,-695.10835,-11809.10835,-9773.10835,-9838.10835,-9172.10835,-11328.10835,-9941.10835,-9546.10835,3049.873576,-6436.126424,-6015.126424,-7126.126424,-3074.126424,-6959.126424,-6637.126424,-3374.126424,easy,yes
144675.5582,-334794.4418,335994.5582,417935.5582,-441559.4418,-442190.4418,-260773.4418,334065.5582,-75081.088,-73571.088,67923.912,-90106.088,-103621.088,-79262.088,-70302.088,50296.912,-10629.15777,-25531.15777,33007.84223,-18786.15777,-22616.15777,-22385.15777,-9964.15777,30557.84223,-15916.03201,-19461.03201,14398.96799,-16678.03201,-20259.03201,-16818.03201,-16122.03201,108574.968,-13335.60134,-13333.60134,20592.39866,-8646.60134,-13092.60134,-14304.60134,-9916.60134,48897.39866,-11610.72334,-15748.72334,9523.27666,-12506.72334,-15752.72334,-14210.72334,-13958.72334,28504.27666,-10786.10835,-11518.10835,12905.89165,-9191.10835,-11653.10835,-11714.10835,-11830.10835,-207.10835,-6260.126424,-6799.126424,728.873576,-6546.126424,-7206.126424,-7133.126424,-7707.126424,12601.87358,difficult,no
-479899.4418,-442092.4418,-441728.4418,-443567.4418,-468878.4418,-483583.4418,-482617.4418,-486085.4418,-90970.088,-102421.088,-92154.088,-79282.088,-98685.088,-110253.088,-102686.088,-107541.088,-23140.15777,-20334.15777,-24771.15777,-23123.15777,-25123.15777,-21928.15777,-10992.15777,-23078.15777,-3451.03201,-15077.03201,-17103.03201,-18075.03201,-18903.03201,12529.96799,-15693.03201,-16264.03201,-10951.60134,-13466.60134,-13816.60134,-13250.60134,-12055.60134,-9237.60134,-8440.60134,-11033.60134,-13656.72334,-16082.72334,-15737.72334,-15383.72334,3281.27666,-14245.72334,-6814.72334,-13350.72334,-9736.10835,-12123.10835,-12174.10835,-12109.10835,-10872.10835,-11856.10835,-6289.10835,-9695.10835,-5545.126424,-7369.126424,-7333.126424,-7286.126424,-6048.126424,-6144.126424,-5432.126424,-7502.126424,difficult,no
-483096.4418,-317646.4418,-476400.4418,-461186.4418,-470360.4418,-446344.4418,-474311.4418,-425179.4418,-104627.088,-103576.088,-87065.088,-72181.088,-105735.088,-90950.088,-91474.088,-61197.088,10417.84223,-20804.15777,-15942.15777,-19227.15777,-6262.15777,-24866.15777,-18247.15777,-23939.15777,-14419.03201,-12873.03201,-16377.03201,-18234.03201,-10042.03201,-19030.03201,-247.03201,-17598.03201,-12480.60134,798.39866,-11181.60134,-11989.60134,-9230.60134,-12933.60134,-9330.60134,-12287.60134,-8205.72334,-13072.72334,-13864.72334,-13664.72334,2683.27666,-15253.72334,-12471.72334,-14655.72334,-10889.10835,-11782.10835,-9352.10835,-11376.10835,-3629.10835,-11058.10835,-9703.10835,-10436.10835,-7083.126424,-6082.126424,-7161.126424,-7193.126424,-5453.126424,-7222.126424,-6492.126424,-7661.126424,difficult,no
